ano_mes,setor,ret_setor,n_empresas,data,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2023-05,Outros,-0.054594136090880596,1,2023-05-31,0.23,4.9828,13.65,102.51912,-0.007378188931904894,0.0,-0.38,-0.017561384732857177
2023-06,Outros,0.07316955213691889,1,2023-06-30,-0.08,4.8516,13.65,102.38355,-0.026683434577212006,0.0,-0.31,-0.0013223874726977503
2023-07,Outros,-0.10263335922444661,1,2023-07-31,0.12,4.8008,13.65,102.85932,-0.010525976759422573,0.0,0.2,0.004646937911412463
2023-08,Outros,0.2872567663424962,2,2023-08-31,0.23,4.9035,13.19,102.4601,0.021166665157072106,-0.46000000000000085,0.11000000000000001,-0.003881223402993572
2023-09,Outros,-0.05129592314404352,1,2023-09-30,0.26,4.937,12.97,102.4903,0.006808623426487914,-0.21999999999999886,0.03,0.0002947488827358402
2023-10,Outros,-0.015718001510421242,1,2023-10-31,0.24,5.0648,12.65,102.80099,0.025556790971053678,-0.3200000000000003,-0.020000000000000018,0.0030314088260059435
2023-11,Outros,-0.2037229193694733,2,2023-11-30,0.28,4.8983,12.17,103.56324,-0.0334264441038894,-0.4800000000000004,0.040000000000000036,0.007414811861247594
2023-12,Outros,0.06105245558536032,2,2023-12-31,0.56,4.8972,11.87,104.58457,-0.00022459292626697547,-0.3000000000000007,0.28,0.009861896943355708
2024-01,Outros,0.17561748702144087,2,2024-01-31,0.42,4.9144,11.65,104.41925,0.0035060576499572615,-0.21999999999999886,-0.14000000000000007,-0.001580730312320422
2024-02,Outros,-0.3050142336070255,2,2024-02-29,0.83,4.9644,11.15,104.80921,0.0101227734056486,-0.5,0.41,0.003734560437850254
2024-03,Outros,0.0027122569950200903,2,2024-03-31,0.16,4.9801,11.0,104.42803,0.0031575268830106307,-0.15000000000000036,-0.6699999999999999,-0.003636894124094514
2024-04,Outros,0.18181557165004603,2,2024-04-30,0.38,5.1291,10.65,105.25234,0.029480234038796516,-0.34999999999999964,0.22,0.007893570337389244
2024-05,Outros,-0.1254049989591125,2,2024-05-31,0.46,5.133,10.46,105.64207,0.0007600783831298585,-0.1899999999999995,0.08000000000000002,0.0037028155383529437
2024-06,Outros,-0.05296003179030806,2,2024-06-30,0.21,5.389,10.4,106.52112,0.04866955537319351,-0.0600000000000005,-0.25,0.008321022107953713
2024-07,Outros,0.07583178714114125,2,2024-07-31,0.38,5.542,10.4,106.92409,0.027995607489426977,0.0,0.17,0.003783005661224914
2024-08,Outros,-0.11551625270121335,2,2024-08-31,-0.02,5.5526,10.4,107.08868,0.0019108400889304988,0.0,-0.4,0.0015393163505061924
2024-09,Outros,-0.09316451962761751,2,2024-09-30,0.44,5.5416,10.5,107.98672,-0.001983018803458858,0.09999999999999964,0.46,0.008385947048745068
2024-10,Outros,0.10333743891889358,2,2024-10-31,0.56,5.6241,10.65,108.17351,0.014777667562860142,0.15000000000000036,0.12000000000000005,0.0017297497321890898
2024-11,Outros,0.22034312922531674,2,2024-11-30,0.39,5.8071,11.04,107.8848,0.03202037154835424,0.3899999999999988,-0.17000000000000004,-0.0026689528702543708
2024-12,Outros,0.047746172879005955,2,2024-12-31,0.52,6.097,11.77,107.02445,0.048715540088206444,0.7300000000000004,0.13,-0.007974710061102175
2025-01,Outros,-0.0445963309447841,2,2025-01-31,0.16,6.0218,12.24,108.25756,-0.012410628975275007,0.47000000000000064,-0.36,0.0115217597474222
2025-02,Outros,-0.05650633862728793,2,2025-02-28,1.31,5.7656,13.15,108.97999,-0.04347699332230981,0.9100000000000001,1.1500000000000001,0.006673252195966706
2025-03,Outros,-0.028345121727517464,2,2025-03-31,0.56,5.7468,13.57,109.82196,-0.00326604647366735,0.41999999999999993,-0.75,0.007725913720491251
2025-04,Outros,-0.060739930862954816,2,2025-04-30,0.43,5.7837,14.15,110.38863,0.006400438136968889,0.5800000000000001,-0.13000000000000006,0.005159896982352086
2025-05,Outros,-0.0652426759496334,2,2025-05-31,0.26,5.6674,14.55,109.01454,-0.020313157511563595,0.40000000000000036,-0.16999999999999998,-0.012447749374188355
2025-06,Outros,0.14683685106002387,2,2025-06-30,0.24,5.5471,14.74,108.85048,-0.021455190106478117,0.1899999999999995,-0.020000000000000018,-0.0015049368643851313
2025-07,Outros,-0.06371581438610785,1,2025-07-31,0.26,5.5285,14.9,108.32307,-0.0033587376730346286,0.16000000000000014,0.020000000000000018,-0.004845270319432715
2025-08,Outros,-0.17185025692665912,1,2025-08-31,-0.11,5.4469,14.9,108.72115,-0.014869891496881449,0.0,-0.37,0.003674932772861794
2025-09,Outros,0.23556607131276697,1,2025-09-30,0.48,5.3674,14.9,108.59808,-0.014703019553606644,0.0,0.59,-0.001131978460492733
2025-10,Outros,0.0,1,2025-10-31,0.09,5.3855,14.9,108.69139,0.0033665368588564615,0.0,-0.39,0.0008592232938189337
2025-11,Outros,-0.03774032798284721,1,2025-11-30,0.18,5.3409,14.9,109.3473,-0.008315978711898264,0.0,0.09,0.006034608629073679
2025-12,Outros,-0.10821358464023256,1,2025-12-31,0.33,5.4531,14.9,109.18161,0.02079007620823603,0.0,0.15000000000000002,-0.0015152637513683453
2010-02,"Petróleo, Gás e Biocombustíveis",-0.007365489854555152,4,2010-02-28,0.78,1.8416,8.65,94.94668,0.034133760544856284,0.0,0.030000000000000027,0.00974515246887342
2010-03,"Petróleo, Gás e Biocombustíveis",-0.06581435906861204,5,2010-03-31,0.52,1.7858,8.65,95.85478,-0.030768264884502128,0.0,-0.26,0.009564315466322748
2010-04,"Petróleo, Gás e Biocombustíveis",-0.02520852600758276,6,2010-04-30,0.57,1.7566,8.72,96.34601,-0.016486371600099026,0.07000000000000028,0.04999999999999993,0.005124731390547366
2010-05,"Petróleo, Gás e Biocombustíveis",-0.11571962295802507,6,2010-05-31,0.43,1.8132,9.4,95.6075,0.03171311758367712,0.6799999999999997,-0.13999999999999996,-0.007665185096923155
2010-06,"Petróleo, Gás e Biocombustíveis",0.08478811467244918,6,2010-06-30,0.0,1.8065,9.94,95.43252,-0.0037019684789992846,0.5399999999999991,-0.43,-0.001830191146092175
2010-07,"Petróleo, Gás e Biocombustíveis",0.1663607369724984,6,2010-07-31,0.01,1.7696,10.32,95.95155,-0.020637739259679155,0.3800000000000008,0.01,0.0054387120868233385
2010-08,"Petróleo, Gás e Biocombustíveis",-0.04381729367028734,6,2010-08-31,0.04,1.7596,10.66,96.55101,-0.005667021853451026,0.33999999999999986,0.03,0.00624752804931239
2010-09,"Petróleo, Gás e Biocombustíveis",0.06723311232944928,6,2010-09-30,0.45,1.7187,10.66,97.43154,-0.02351831939192295,0.0,0.41000000000000003,0.009119842454263116
2010-10,"Petróleo, Gás e Biocombustíveis",-0.004535278024391205,6,2010-10-31,0.75,1.6835,10.66,97.26692,-0.020693231481512586,0.0,0.3,-0.0016895966131705853
2010-11,"Petróleo, Gás e Biocombustíveis",-0.08569644665878262,6,2010-11-30,0.83,1.7133,10.66,98.36071,0.017546375737797826,0.0,0.07999999999999996,0.011245241444881815
2010-12,"Petróleo, Gás e Biocombustíveis",0.028676638284035216,6,2010-12-31,0.63,1.6934,10.66,97.33618,-0.011682993130750163,0.0,-0.19999999999999996,-0.010416049253812787
2011-01,"Petróleo, Gás e Biocombustíveis",-0.08056395340115503,6,2011-01-31,0.83,1.6749,10.85,98.5386,-0.010984880223752325,0.1899999999999995,0.19999999999999996,0.012353268846178267
2011-02,"Petróleo, Gás e Biocombustíveis",0.04211776104947007,6,2011-02-28,0.8,1.668,11.17,98.9366,-0.004128158065732523,0.3200000000000003,-0.029999999999999916,0.004039026330798334
2011-03,"Petróleo, Gás e Biocombustíveis",-0.019350608654269314,7,2011-03-31,0.79,1.6591,11.62,98.94981,-0.0053500172693823345,0.4499999999999993,-0.010000000000000009,0.0001335198500858059
2011-04,"Petróleo, Gás e Biocombustíveis",-0.12368593741606958,7,2011-04-30,0.77,1.5864,11.74,98.97012,-0.04480798844372341,0.120000000000001,-0.020000000000000018,0.00020525557350725698
2011-05,"Petróleo, Gás e Biocombustíveis",-0.009706598922977872,7,2011-05-31,0.47,1.6135,11.92,99.14962,0.01693843428643027,0.17999999999999972,-0.30000000000000004,0.0018136787143432365
2011-06,"Petróleo, Gás e Biocombustíveis",-0.02739597733706797,7,2011-06-30,0.15,1.587,12.1,99.58084,-0.01656029096560746,0.17999999999999972,-0.31999999999999995,0.004349184595967115
2011-07,"Petróleo, Gás e Biocombustíveis",0.027632900471751803,7,2011-07-31,0.16,1.5639,12.25,99.67249,-0.014662740084239068,0.15000000000000036,0.010000000000000009,0.0009203577716356826
2011-08,"Petróleo, Gás e Biocombustíveis",-0.008956108781686234,8,2011-08-31,0.37,1.597,12.42,99.57595,0.02094416777284247,0.16999999999999993,0.21,-0.0009685721707162198
2011-09,"Petróleo, Gás e Biocombustíveis",-0.03209062021509548,8,2011-09-30,0.53,1.7498,11.91,99.46509,0.09137462645715178,-0.5099999999999998,0.16000000000000003,-0.0011133210378611036
2011-10,"Petróleo, Gás e Biocombustíveis",0.1063874826080283,8,2011-10-31,0.43,1.7726,11.7,99.40302,0.012945899632133329,-0.21000000000000085,-0.10000000000000003,-0.0006240380418899294
2011-11,"Petróleo, Gás e Biocombustíveis",-0.07964975967405005,8,2011-11-30,0.52,1.7905,11.4,99.88666,0.010047515134189888,-0.29999999999999893,0.09000000000000002,0.004865445737966656
2011-12,"Petróleo, Gás e Biocombustíveis",0.0020651462085315986,8,2011-12-31,0.5,1.8369,10.9,98.92647,0.025584457713531017,-0.5,-0.020000000000000018,-0.009612795142014074
2012-01,"Petróleo, Gás e Biocombustíveis",0.03513196138467045,8,2012-01-31,0.56,1.7897,10.7,97.68394,-0.0260313601286557,-0.20000000000000107,0.06000000000000005,-0.01256013683698598
2012-02,"Petróleo, Gás e Biocombustíveis",0.09898323279274274,8,2012-02-29,0.45,1.7184,10.4,98.60136,-0.04065438270881727,-0.29999999999999893,-0.11000000000000004,0.009391717819735801
2012-03,"Petróleo, Gás e Biocombustíveis",-0.02476227900576025,8,2012-03-31,0.21,1.7953,9.82,98.39752,0.04377851356223761,-0.5800000000000001,-0.24000000000000002,-0.002067314284508903
2012-04,"Petróleo, Gás e Biocombustíveis",-0.044027937330161415,8,2012-04-30,0.64,1.8548,9.35,98.87919,0.032604734640522715,-0.47000000000000064,0.43000000000000005,0.004895143698743665
2012-05,"Petróleo, Gás e Biocombustíveis",-0.16079868265196068,8,2012-05-31,0.36,1.986,8.87,100.02262,0.06834569208781205,-0.4800000000000004,-0.28,0.011563909453546461
2012-06,"Petróleo, Gás e Biocombustíveis",-0.1542731942359175,8,2012-06-30,0.08,2.0492,8.39,100.74443,0.031326907459929276,-0.47999999999999865,-0.27999999999999997,0.007216467635020818
2012-07,"Petróleo, Gás e Biocombustíveis",0.04491949294530234,8,2012-07-31,0.43,2.0287,8.07,100.90569,-0.010054279257763254,-0.3200000000000003,0.35,0.0016006840278912637
2012-08,"Petróleo, Gás e Biocombustíveis",0.02836993450628708,8,2012-08-31,0.41,2.0294,7.85,101.24218,0.00034498903769852873,-0.22000000000000064,-0.020000000000000018,0.0033346979739199423
2012-09,"Petróleo, Gás e Biocombustíveis",0.05375500748301604,8,2012-09-30,0.57,2.0281,7.39,100.83815,-0.000640788684896032,-0.45999999999999996,0.15999999999999998,-0.0039907279752372515
2012-10,"Petróleo, Gás e Biocombustíveis",-0.17820318047202005,8,2012-10-31,0.59,2.0298,7.23,101.67941,0.0008378718546313557,-0.15999999999999925,0.020000000000000018,0.008342675862260451
2012-11,"Petróleo, Gás e Biocombustíveis",-0.09529592353052352,8,2012-11-30,0.6,2.0678,7.14,101.52939,0.018547974137875012,-0.09000000000000075,0.010000000000000009,-0.001475421621742301
2012-12,"Petróleo, Gás e Biocombustíveis",0.0049421271905271125,8,2012-12-31,0.79,2.0778,7.16,101.12083,0.0048244014838384475,0.020000000000000462,0.19000000000000006,-0.004024056482561433
2013-01,"Petróleo, Gás e Biocombustíveis",-0.006533459225876864,8,2013-01-31,0.86,2.0311,7.11,101.72253,-0.022732123438991225,-0.04999999999999982,0.06999999999999995,0.0059503071721227485
2013-02,"Petróleo, Gás e Biocombustíveis",-0.04678776834729664,8,2013-02-28,0.6,1.9733,7.12,100.82525,-0.028870250022059785,0.009999999999999787,-0.26,-0.008820858073427917
2013-03,"Petróleo, Gás e Biocombustíveis",-0.14081617751492562,8,2013-03-31,0.47,1.9828,7.15,101.75252,0.0048027189710385665,0.03000000000000025,-0.13,0.009196803380105756
2013-04,"Petróleo, Gás e Biocombustíveis",-0.0929666890196629,8,2013-04-30,0.55,2.0022,7.26,102.83368,0.009736588838964666,0.10999999999999943,0.08000000000000007,0.010625387951079812
2013-05,"Petróleo, Gás e Biocombustíveis",-0.05082192520755474,8,2013-05-31,0.37,2.0348,7.42,103.05116,0.01615095796322663,0.16000000000000014,-0.18000000000000005,0.00211487131453425
2013-06,"Petróleo, Gás e Biocombustíveis",-0.25061950767983626,8,2013-06-30,0.26,2.173,7.9,102.74846,0.06571116730781967,0.4800000000000004,-0.10999999999999999,-0.0029373759596690308
2013-07,"Petróleo, Gás e Biocombustíveis",-0.05127603478661549,8,2013-07-31,0.03,2.2522,8.23,103.04867,0.03579881500649562,0.33000000000000007,-0.23,0.002921795616206868
2013-08,"Petróleo, Gás e Biocombustíveis",-0.17171781473083442,8,2013-08-31,0.24,2.3422,8.45,103.36349,0.039183142345111555,0.21999999999999886,0.21,0.003055061263769865
2013-09,"Petróleo, Gás e Biocombustíveis",-0.06006913637948022,8,2013-09-30,0.35,2.2705,8.9,103.90889,-0.031090587070030984,0.45000000000000107,0.10999999999999999,0.005276524621991685
2013-10,"Petróleo, Gás e Biocombustíveis",0.008424443484182448,8,2013-10-31,0.57,2.1886,9.25,103.90498,-0.036738001553663246,0.34999999999999964,0.21999999999999997,-3.762911912541522e-05
2013-11,"Petróleo, Gás e Biocombustíveis",-0.022016395347610546,8,2013-11-30,0.54,2.2954,9.45,104.13777,0.04764505026222532,0.1999999999999993,-0.029999999999999916,0.002240412345972276
2013-12,"Petróleo, Gás e Biocombustíveis",0.03370688833186222,8,2013-12-31,0.92,2.3455,9.9,104.45256,0.021591478521944762,0.45000000000000107,0.38,0.003022822555159399
2014-01,"Petróleo, Gás e Biocombustíveis",0.015547455272970329,8,2014-01-31,0.55,2.3822,10.17,104.02845,0.015525831678287805,0.2699999999999996,-0.37,-0.00406031216468028
2014-02,"Petróleo, Gás e Biocombustíveis",-0.07443578147857732,8,2014-02-28,0.69,2.3837,10.43,103.81187,0.0006294718938834043,0.2599999999999998,0.1399999999999999,-0.002081930471904636
2014-03,"Petróleo, Gás e Biocombustíveis",0.00030676069920834714,8,2014-03-31,0.92,2.3261,10.65,103.64591,-0.02446085692482214,0.22000000000000064,0.2300000000000001,-0.0015986611164985343
2014-04,"Petróleo, Gás e Biocombustíveis",-0.02152595934366497,8,2014-04-30,0.67,2.2328,10.87,103.21516,-0.04093664219374937,0.21999999999999886,-0.25,-0.004155976825327756
2014-05,"Petróleo, Gás e Biocombustíveis",-0.043708929675411096,8,2014-05-31,0.46,2.2209,10.9,102.8217,-0.005343884104950125,0.030000000000001137,-0.21000000000000002,-0.003812036913957151
2014-06,"Petróleo, Gás e Biocombustíveis",0.0541164320904467,8,2014-06-30,0.4,2.2355,10.9,100.7245,0.00655239755687298,0.0,-0.06,-0.020396472729005688
2014-07,"Petróleo, Gás e Biocombustíveis",0.03574411039639072,8,2014-07-31,0.01,2.2246,10.9,101.4328,-0.004887792516106271,0.0,-0.39,0.0070320527776259745
2014-08,"Petróleo, Gás e Biocombustíveis",0.03984863318547291,8,2014-08-31,0.25,2.268,10.9,102.28257,0.019321261689713598,0.0,0.24,0.00837766481848079
2014-09,"Petróleo, Gás e Biocombustíveis",-0.16430713723441323,8,2014-09-30,0.57,2.3329,10.9,102.86789,0.028213742988950408,0.0,0.31999999999999995,0.005722578147967949
2014-10,"Petróleo, Gás e Biocombustíveis",-0.2327391043917086,8,2014-10-31,0.42,2.4483,10.92,102.06678,0.0482817773067139,0.019999999999999574,-0.14999999999999997,-0.00778775573213375
2014-11,"Petróleo, Gás e Biocombustíveis",0.05024081431336225,8,2014-11-30,0.51,2.5484,11.15,102.19447,0.04007180509902619,0.23000000000000043,0.09000000000000002,0.0012510436794419544
2014-12,"Petróleo, Gás e Biocombustíveis",-0.20065557783915489,8,2014-12-31,0.78,2.6394,11.58,102.64939,0.03508590734039607,0.4299999999999997,0.27,0.004451512885188524
2015-01,"Petróleo, Gás e Biocombustíveis",-0.10723141395077615,8,2015-01-31,1.24,2.6342,11.82,101.806,-0.001972088017783147,0.2400000000000002,0.45999999999999996,-0.008216220281484388
2015-02,"Petróleo, Gás e Biocombustíveis",0.01507776770833913,8,2015-02-28,1.22,2.8165,12.15,101.08664,0.06691544876982258,0.33000000000000007,-0.020000000000000018,-0.007065988252165867
2015-03,"Petróleo, Gás e Biocombustíveis",-0.046172969758895,8,2015-03-31,1.32,3.1395,12.58,100.90844,0.10856857221939542,0.4299999999999997,0.10000000000000009,-0.0017628442294649327
2015-04,"Petróleo, Gás e Biocombustíveis",0.06933731696193446,8,2015-04-30,0.71,3.0432,12.68,99.65699,-0.031153958203092857,0.09999999999999964,-0.6100000000000001,-0.012401836754190265
2015-05,"Petróleo, Gás e Biocombustíveis",-0.042686451160656114,8,2015-05-31,0.74,3.0617,13.15,98.99924,0.006060723887055364,0.47000000000000064,0.030000000000000027,-0.006600139137254657
2015-06,"Petróleo, Gás e Biocombustíveis",-0.09406820766897028,8,2015-06-30,0.79,3.1117,13.58,97.92725,0.016198883385000196,0.4299999999999997,0.050000000000000044,-0.01082826494425615
2015-07,"Petróleo, Gás e Biocombustíveis",-0.19296915895530076,9,2015-07-31,0.62,3.2231,13.69,96.9346,0.035174428704468186,0.10999999999999943,-0.17000000000000004,-0.010136606511466417
2015-08,"Petróleo, Gás e Biocombustíveis",-0.16748180553478964,9,2015-08-31,0.22,3.5143,14.15,97.38597,0.08649672956993415,0.46000000000000085,-0.4,0.004656438464696766
2015-09,"Petróleo, Gás e Biocombustíveis",-0.061059308861249835,9,2015-09-30,0.54,3.9065,14.15,96.65676,0.10580147353926983,0.0,0.32000000000000006,-0.007487834233206203
2015-10,"Petróleo, Gás e Biocombustíveis",0.03584353639044031,9,2015-10-31,0.82,3.8801,14.15,97.21119,-0.006780905955726668,0.0,0.2799999999999999,0.00573607060696002
2015-11,"Petróleo, Gás e Biocombustíveis",-0.08346103945200939,9,2015-11-30,1.01,3.7765,14.15,96.03935,-0.027063271727569616,0.0,0.19000000000000006,-0.012054579313348635
2015-12,"Petróleo, Gás e Biocombustíveis",0.00476565034040815,9,2015-12-31,0.96,3.8711,14.15,95.69982,0.024741049608533627,0.0,-0.050000000000000044,-0.0035353217196909537
2016-01,"Petróleo, Gás e Biocombustíveis",-0.18417345842873806,9,2016-01-31,1.27,4.0524,14.15,95.25209,0.04577059381748594,0.0,0.31000000000000005,-0.004678483198819028
2016-02,"Petróleo, Gás e Biocombustíveis",0.018993928092844274,9,2016-02-29,0.9,3.9737,14.15,95.22108,-0.019611647606807114,0.0,-0.37,-0.00032555716100290955
2016-03,"Petróleo, Gás e Biocombustíveis",0.4203175010873329,9,2016-03-31,0.43,3.7039,14.15,94.49179,-0.07031133201126605,0.0,-0.47000000000000003,-0.007658913341457629
2016-04,"Petróleo, Gás e Biocombustíveis",0.012796058617531032,9,2016-04-30,0.61,3.5658,14.15,94.43128,-0.03799788596077924,0.0,0.18,-0.0006403730948476571
2016-05,"Petróleo, Gás e Biocombustíveis",-0.11602462140391766,9,2016-05-31,0.78,3.5393,14.15,94.10093,-0.007459465138997867,0.0,0.17000000000000004,-0.003498311152829836
2016-06,"Petróleo, Gás e Biocombustíveis",-0.0507782754766826,9,2016-06-30,0.35,3.4245,14.15,94.35172,-0.0329734918237119,0.0,-0.43000000000000005,0.0026651171247722427
2016-07,"Petróleo, Gás e Biocombustíveis",0.30985294478255865,9,2016-07-31,0.52,3.2756,14.15,94.07983,-0.04445441724192678,0.0,0.17000000000000004,-0.0028816644784005474
2016-08,"Petróleo, Gás e Biocombustíveis",-0.023839704063991694,9,2016-08-31,0.44,3.2097,14.15,93.79519,-0.020323583583362614,0.0,-0.08000000000000002,-0.0030255156711060938
2016-09,"Petróleo, Gás e Biocombustíveis",-0.01267186822915847,9,2016-09-30,0.08,3.2564,14.15,93.84337,0.014444815887152185,0.0,-0.36,0.0005136723962069212
2016-10,"Petróleo, Gás e Biocombustíveis",0.1115655589860565,9,2016-10-31,0.26,3.1858,14.05,93.59002,-0.02191885583928488,-0.09999999999999964,0.18,-0.0026997112315979566
2016-11,"Petróleo, Gás e Biocombustíveis",-0.04833055869025461,9,2016-11-30,0.18,3.342,13.9,93.47435,0.04786599529480107,-0.15000000000000036,-0.08000000000000002,-0.00123592237719361
